Year,Week,Round,Day,Date,Time (ET),,Favorite,Score,Spread,,Underdog,Over/Under,Notes
1982,Week 2,,Sun,"Sep 19, 1982",1:00,@,Atlanta Falcons,L 14-38,L -3,,Los Angeles Raiders,O 40,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,@,Chicago Bears,L 0-10,L -4.5,,New Orleans Saints,U 34,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,@,Cleveland Browns,L 21-24,L -2.5,,Philadelphia Eagles,O 42,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,,San Diego Chargers,L 12-19,L -3,@,Kansas City Chiefs,U 40,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,,New York Jets,W 31-7,W -1,@,New England Patriots,U 46,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,,Cincinnati Bengals,L 20-26 (OT),L -1,@,Pittsburgh Steelers,O 43,
1982,Week 2,,Sun,"Sep 19, 1982",1:00,,Dallas Cowboys,W 24-7,W -4,@,St Louis Cardinals,U 39,
1982,Week 2,,Sun,"Sep 19, 1982",4:00,@,Denver Broncos,W 24-21,W -1,,San Francisco 49ers,O 40,
1982,Week 2,,Sun,"Sep 19, 1982",4:00,@,Houston Oilers,W 23-21,L -3.5,,Seattle Seahawks,O 35,
1982,Week 2,,Sun,"Sep 19, 1982",4:00,@,Los Angeles Rams,L 14-19,L -1.5,,Detroit Lions,U 44,
1982,Week 2,,Sun,"Sep 19, 1982",4:00,@,Miami Dolphins,W 24-20,L -12.5,,Baltimore Colts,U 45,
1982,Week 2,,Sun,"Sep 19, 1982",4:00,@,Tampa Bay Buccaneers,L 13-21,L -3.5,,Washington Redskins,U 37,
1982,Week 2,,Mon,"Sep 20, 1982",9:00,@,New York Giants,L 19-27,L -2.5,,Green Bay Packers,O 41,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Atlanta Falcons,W 34-17,W -3.5,,Los Angeles Rams,O 40,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Buffalo Bills,L 7-9,L -1,,Miami Dolphins,U 35,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,,Detroit Lions,L 17-20,L -3.5,@,Chicago Bears,O 32,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Cleveland Browns,W 10-7,L -6.5,,New England Patriots,U 38,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Dallas Cowboys,W 14-9,L -7,,Tampa Bay Buccaneers,U 37,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Green Bay Packers,W 26-7,W -2,,Minnesota Vikings,U 40,at Milwaukee
1982,Week 11,,Sun,"Nov 21, 1982",1:00,,Pittsburgh Steelers,W 24-10,W -5.5,@,Houston Oilers,U 38,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,,Kansas City Chiefs,L 17-27,L -2.5,@,New Orleans Saints,O 31,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,New York Jets,W 37-0,W -8,,Baltimore Colts,U 39,
1982,Week 11,,Sun,"Nov 21, 1982",1:00,@,Philadelphia Eagles,L 14-18,L -1,,Cincinnati Bengals,U 40,
1982,Week 11,,Sun,"Nov 21, 1982",4:00,@,Denver Broncos,L 10-17,L -7.5,,Seattle Seahawks,U 36,
1982,Week 11,,Sun,"Nov 21, 1982",4:00,@,New York Giants,L 17-27,L PK,,Washington Redskins,O 35,
1982,Week 11,,Sun,"Nov 21, 1982",4:00,,San Francisco 49ers,W 31-20,W -4,@,St Louis Cardinals,O 36,
1982,Week 11,,Mon,"Nov 22, 1982",9:00,@,Los Angeles Raiders,W 28-24,W -1,,San Diego Chargers,O 41,
1982,Week 12,,Thu,"Nov 25, 1982",12:00,@,Detroit Lions,L 6-13,L -4,,New York Giants,U 36,
1982,Week 12,,Thu,"Nov 25, 1982",4:00,@,Dallas Cowboys,W 31-14,W -6.5,,Cleveland Browns,O 38,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,Atlanta Falcons,L 20-23,L -7,,St Louis Cardinals,O 42,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,Buffalo Bills,W 20-0,W -13,,Baltimore Colts,U 36,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,Cincinnati Bengals,W 31-17,W -4.5,,Los Angeles Raiders,O 43,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,Minnesota Vikings,W 35-7,W -5.5,,Chicago Bears,O 36,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,New England Patriots,W 29-21,W -2.5,,Houston Oilers,O 36,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,New York Jets,W 15-13,L -3.5,,Green Bay Packers,U 42,
1982,Week 12,,Sun,"Nov 28, 1982",1:00,@,Washington Redskins,W 13-9,W -2.5,,Philadelphia Eagles,U 42,
1982,Week 12,,Sun,"Nov 28, 1982",4:00,@,Los Angeles Rams,W 20-14,W -2,,Kansas City Chiefs,U 39,
1982,Week 12,,Sun,"Nov 28, 1982",4:00,@,San Diego Chargers,W 30-20,W -6.5,,Denver Broncos,O 40,
1982,Week 12,,Sun,"Nov 28, 1982",4:00,@,San Francisco 49ers,L 20-23,L -7.5,,New Orleans Saints,O 38,
1982,Week 12,,Sun,"Nov 28, 1982",4:00,,Pittsburgh Steelers,L 0-16,L -6,@,Seattle Seahawks,U 43,
1982,Week 12,,Mon,"Nov 29, 1982",9:00,,Miami Dolphins,L 17-23,L -2,@,Tampa Bay Buccaneers,O 33,
1982,Week 13,,Thu,"Dec 2, 1982",9:00,,San Francisco 49ers,W 30-24,W -2.5,@,Los Angeles Rams,O 42,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,Chicago Bears,W 26-13,W -2,,New England Patriots,O 36,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,,San Diego Chargers,W 30-13,W -3,@,Cleveland Browns,U 44,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,Green Bay Packers,W 33-21,W -2.5,,Buffalo Bills,O 38,at Milwaukee
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,Miami Dolphins,W 22-14,W -6,,Minnesota Vikings,U 38,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,New Orleans Saints,L 10-13,L -2.5,,Tampa Bay Buccaneers,U 35,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,New York Giants,W 17-14,L -7,,Houston Oilers,U 35,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,Philadelphia Eagles,L 20-23,L -5.5,,St Louis Cardinals,O 39,
1982,Week 13,,Sun,"Dec 5, 1982",1:00,@,Pittsburgh Steelers,W 35-14,W -6.5,,Kansas City Chiefs,O 41,
1982,Week 13,,Sun,"Dec 5, 1982",4:00,,Cincinnati Bengals,W 20-17,L -14.5,@,Baltimore Colts,U 38,
1982,Week 13,,Sun,"Dec 5, 1982",4:00,@,Denver Broncos,L 27-34,L -3.5,,Atlanta Falcons,O 42,
1982,Week 13,,Sun,"Dec 5, 1982",4:00,@,Los Angeles Raiders,W 28-23,L -6.5,,Seattle Seahawks,O 40,
1982,Week 13,,Sun,"Dec 5, 1982",4:00,,Dallas Cowboys,W 24-10,W -2,@,Washington Redskins,U 42,
1982,Week 13,,Mon,"Dec 6, 1982",9:00,@,Detroit Lions,L 13-28,L -1,,New York Jets,O 39,
1982,Week 14,,Sat,"Dec 11, 1982",12:30,@,New York Giants,W 23-7,W -2,,Philadelphia Eagles,U 37,
1982,Week 14,,Sat,"Dec 11, 1982",4:00,@,San Francisco 49ers,L 37-41,L -2,,San Diego Chargers,O 47,
1982,Week 14,,Sun,"Dec 12, 1982",12:00,@,Buffalo Bills,W 13-0,W PK,,Pittsburgh Steelers,U 40,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,@,Cincinnati Bengals,W 23-10,W -8,,Cleveland Browns,U 44,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,@,Green Bay Packers,L 10-30,L -5.5,,Detroit Lions,U 41,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,@,Minnesota Vikings,W 13-10,L -12,,Baltimore Colts,U 38,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,,Miami Dolphins,L 0-3,L -6,@,New England Patriots,U 37,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,@,New York Jets,W 32-17,W -3.5,,Tampa Bay Buccaneers,O 35,
1982,Week 14,,Sun,"Dec 12, 1982",1:00,,Washington Redskins,W 12-7,W -1,@,St Louis Cardinals,U 42,
1982,Week 14,,Sun,"Dec 12, 1982",4:00,@,Atlanta Falcons,W 35-0,W -3.5,,New Orleans Saints,U 41,
1982,Week 14,,Sun,"Dec 12, 1982",4:00,,Los Angeles Raiders,W 21-16,W -3,@,Kansas City Chiefs,U 40,
1982,Week 14,,Sun,"Dec 12, 1982",4:00,@,Los Angeles Rams,L 24-27,L -2.5,,Denver Broncos,O 43,
1982,Week 14,,Sun,"Dec 12, 1982",4:00,@,Seattle Seahawks,W 20-14,W -3.5,,Chicago Bears,U 35,
1982,Week 14,,Mon,"Dec 13, 1982",9:00,,Dallas Cowboys,W 37-7,W -8.5,@,Houston Oilers,O 38,
1982,Week 15,,Sat,"Dec 18, 1982",12:30,@,Miami Dolphins,W 20-19,W PK,,New York Jets,O 35,
1982,Week 15,,Sat,"Dec 18, 1982",4:00,@,Los Angeles Raiders,W 37-31,L -8,,Los Angeles Rams,O 47,
1982,Week 15,,Sun,"Dec 19, 1982",1:00,,St Louis Cardinals,W 10-7,W -1,@,Chicago Bears,U 35,
1982,Week 15,,Sun,"Dec 19, 1982",1:00,,Pittsburgh Steelers,L 9-10,L -3.5,@,Cleveland Browns,U 39,
1982,Week 15,,Sun,"Dec 19, 1982",1:00,@,Detroit Lions,L 31-34,L -4,,Minnesota Vikings,O 38,
1982,Week 15,,Sun,"Dec 19, 1982",1:00,@,Philadelphia Eagles,W 35-14,W -6,,Houston Oilers,O 35,
1982,Week 15,,Sun,"Dec 19, 1982",1:00,@,Washington Redskins,W 15-14,L -3.5,,New York Giants,U 36,
1982,Week 15,,Sun,"Dec 19, 1982",2:00,,Green Bay Packers,T 20-20 (OT),L -7,@,Baltimore Colts,O 36,
1982,Week 15,,Sun,"Dec 19, 1982",4:00,@,Dallas Cowboys,W 21-7,W -10,,New Orleans Saints,U 39,
1982,Week 15,,Sun,"Dec 19, 1982",4:00,@,Denver Broncos,L 16-37,L -6.5,,Kansas City Chiefs,O 38,
1982,Week 15,,Sun,"Dec 19, 1982",4:00,@,Seattle Seahawks,L 0-16,L -4,,New England Patriots,U 33,
1982,Week 15,,Sun,"Dec 19, 1982",4:00,@,Tampa Bay Buccaneers,W 24-23,P -1,,Buffalo Bills,O 34,
1982,Week 15,,Sun,"Dec 19, 1982",9:00,@,San Francisco 49ers,L 7-17,L -4,,Atlanta Falcons,U 50,
1982,Week 15,,Mon,"Dec 20, 1982",9:00,@,San Diego Chargers,W 50-34,W -3,,Cincinnati Bengals,O 50,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,@,Atlanta Falcons,L 7-38,L -3.5,,Green Bay Packers,U 47,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,@,Cincinnati Bengals,W 24-10,W -10,,Seattle Seahawks,U 40,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,,Cleveland Browns,W 20-14,W -4,@,Houston Oilers,U 38,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,,San Francisco 49ers,W 26-13,W -3,@,Kansas City Chiefs,U 41,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,@,Pittsburgh Steelers,W 37-14,W -7,,New England Patriots,O 36,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,@,St Louis Cardinals,W 24-21,W -1,,New York Giants,O 34,
1982,Week 16,,Sun,"Dec 26, 1982",1:00,@,Tampa Bay Buccaneers,W 23-21,L -3.5,,Detroit Lions,O 36,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,@,Dallas Cowboys,L 20-24,L -8,,Philadelphia Eagles,O 41,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,@,Los Angeles Raiders,W 27-10,W -7.5,,Denver Broncos,U 48,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,@,Los Angeles Rams,L 26-34,L -3,,Chicago Bears,O 42,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,,New York Jets,W 42-14,W -2.5,@,Minnesota Vikings,O 41,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,,Washington Redskins,W 27-10,W -3,@,New Orleans Saints,O 34,
1982,Week 16,,Sun,"Dec 26, 1982",4:00,@,San Diego Chargers,W 44-26,W -13.5,,Baltimore Colts,O 45,
1982,Week 16,,Mon,"Dec 27, 1982",9:00,@,Miami Dolphins,W 27-10,W -3,,Buffalo Bills,O 36,
1982,Week 17,,Sun,"Jan 2, 1983",12:00,,Atlanta Falcons,L 6-35,L -5,@,New Orleans Saints,P 41,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,@,Detroit Lions,W 27-24,W PK,,Green Bay Packers,O 43,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,,Cincinnati Bengals,W 35-27,L -10,@,Houston Oilers,O 38,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,,New York Jets,L 13-37,L -5,@,Kansas City Chiefs,O 42,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,,Buffalo Bills,L 19-30,L -3.5,@,New England Patriots,O 36,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,@,Philadelphia Eagles,L 24-26,L -4,,New York Giants,O 36,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,@,Pittsburgh Steelers,W 37-21,W -6,,Cleveland Browns,O 38,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,@,Tampa Bay Buccaneers,W 26-23 (OT),L -5,,Chicago Bears,O 36,
1982,Week 17,,Sun,"Jan 2, 1983",1:00,@,Washington Redskins,W 28-0,W -5,,St Louis Cardinals,U 33,
1982,Week 17,,Sun,"Jan 2, 1983",2:00,,Miami Dolphins,W 34-7,W -8,@,Baltimore Colts,O 36,
1982,Week 17,,Sun,"Jan 2, 1983",4:00,@,San Diego Chargers,L 34-41,L -3.5,,Los Angeles Raiders,O 54,
1982,Week 17,,Sun,"Jan 2, 1983",4:00,@,San Francisco 49ers,L 20-21,L -10,,Los Angeles Rams,U 51,
1982,Week 17,,Sun,"Jan 2, 1983",4:00,@,Seattle Seahawks,W 13-11,L -3,,Denver Broncos,U 40,
1982,Week 17,,Mon,"Jan 3, 1983",9:00,,Dallas Cowboys,L 27-31,L -4,@,Minnesota Vikings,O 47,
1982,Playoffs,NFC Wild Card,Sat,"Jan 8, 1983",12:30,@,Green Bay Packers (3),W 41-16,W -4.5,,St Louis Cardinals (6),O 37.5
1982,Playoffs,NFC Wild Card,Sat,"Jan 8, 1983",12:30,@,Washington Redskins (1),W 31-7,W -6,,Detroit Lions (8),O 37
1982,Playoffs,AFC Wild Card,Sat,"Jan 8, 1983",4:00,@,Miami Dolphins (2),W 28-13,W -7.5,,New England Patriots (7),O 36
1982,Playoffs,AFC Wild Card,Sat,"Jan 8, 1983",4:00,@,Los Angeles Raiders (1),W 27-10,W -8.5,,Cleveland Browns (8),U 44.5
1982,Playoffs,AFC Wild Card,Sun,"Jan 9, 1983",12:30,@,Cincinnati Bengals (3),L 17-44,L -4,,New York Jets (6),O 44.5
1982,Playoffs,AFC Wild Card,Sun,"Jan 9, 1983",12:30,@,Pittsburgh Steelers (4),L 28-31,L -1,,San Diego Chargers (5),O 53
1982,Playoffs,NFC Wild Card,Sun,"Jan 9, 1983",4:00,@,Minnesota Vikings (4),W 30-24,W -2,,Atlanta Falcons (5),O 46.5
1982,Playoffs,NFC Wild Card,Sun,"Jan 9, 1983",4:00,@,Dallas Cowboys (2),W 30-17,W -8,,Tampa Bay Buccaneers (7),O 38.5
1982,Playoffs,NFC Divisional,Sat,"Jan 15, 1983",12:30,@,Washington Redskins (1),W 21-7,W -6,,Minnesota Vikings (4),U 43.5
1982,Playoffs,AFC Divisional,Sat,"Jan 15, 1983",4:00,@,Los Angeles Raiders (1),L 14-17,L -3.5,,New York Jets (6),U 48
1982,Playoffs,AFC Divisional,Sun,"Jan 16, 1983",12:30,,San Diego Chargers (5),L 13-34,L -1.5,@,Miami Dolphins (2),U 53
1982,Playoffs,NFC Divisional,Sun,"Jan 16, 1983",4:00,@,Dallas Cowboys (2),W 37-26,W -7,,Green Bay Packers (3),O 48
1982,Playoffs,NFC Championship,Sat,"Jan 22, 1983",12:30,,Dallas Cowboys (2),L 17-31,L -2,@,Washington Redskins (1),O 38.5
1982,Playoffs,AFC Championship,Sun,"Jan 23, 1983",1:00,@,Miami Dolphins (2),W 14-0,W -1,,New York Jets (6),U 38.5
1982,Playoffs,Super Bowl XVII,Sun,"Jan 30, 1983",6:00,N,Miami Dolphins (2),L 17-27,L -3,,Washington Redskins (1),O 36.5
