Year,Week,Round,Day,Date,Time (ET),,Favorite,Score,Spread,,Underdog,Over/Under,Notes
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,Buffalo Bills,W 14-9,W -3.5,,Kansas City Chiefs,U 35,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,Cincinnati Bengals,W 27-6,W -7,,Houston Oilers,U 40,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,Detroit Lions,W 17-10,W -5.5,,Chicago Bears,U 37,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,,Los Angeles Rams,L 23-35,L -1,@,Green Bay Packers,O 40,at Milwaukee
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,Minnesota Vikings,W 17-10,W -2,,Tampa Bay Buccaneers,U 38,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,,St Louis Cardinals,W 21-7,W -1,@,New Orleans Saints,U 36,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,New York Giants,L 14-16,L -1.5,,Atlanta Falcons,U 37,
1982,Week 1,,Sun,"Sep 12, 1982",1:00,@,Philadelphia Eagles,L 34-37 (OT),L -6.5,,Washington Redskins,O 37,
1982,Week 1,,Sun,"Sep 12, 1982",2:00,,New England Patriots,W 24-13,W -2,@,Baltimore Colts,U 45,
1982,Week 1,,Sun,"Sep 12, 1982",4:00,@,Denver Broncos,L 3-23,L -1,,San Diego Chargers,U 42,
1982,Week 1,,Sun,"Sep 12, 1982",4:00,@,New York Jets,L 28-45,L -2,,Miami Dolphins,O 37,
1982,Week 1,,Sun,"Sep 12, 1982",4:00,@,San Francisco 49ers,L 17-23,L -6,,Los Angeles Raiders,O 38,
1982,Week 1,,Sun,"Sep 12, 1982",4:00,,Cleveland Browns,W 21-7,W -2.5,@,Seattle Seahawks,U 40,
1982,Week 1,,Mon,"Sep 13, 1982",9:00,@,Dallas Cowboys,L 28-36,L -5.5,,Pittsburgh Steelers,O 42,
1982,Week 2,,Thu,"Sep 16, 1982",8:30,@,Buffalo Bills,W 23-22,L -3,,Minnesota Vikings,O 35,
